from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
10,25,3586.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,26,4862.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,27,5788.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,28,5242.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,29,4550.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,30,3760.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,31,5058.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,32,5107.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,33,4996.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,38,5408.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,40,3842.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,41,5965.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,47,5393.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,1,5382.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,2,5242.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,4,5096.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,5,5311.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,6,3143.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,7,3139.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,8,2845.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,9,2647.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,10,2608.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,12,5322.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,13,5137.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,14,3926.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
